Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   9,   1,   3, 0.88575                                               
   9,   1,   4, 0.77730                                               
   9,   1,   5, 0.94215                                               
   9,   1,   6, 0.66315                                               
   9,   1,   7, 0.85200                                               
   9,   1,   8, 0.97665                                               
   9,   1,   9, 0.73170                                               
   9,   1,  10, 0.96060                                               
   9,   1,  11, 0.90210                                               
   9,   1,  12, 0.62685                                               
   9,   1,  13, 0.76020                                               
   9,   1,  14, 0.61575                                               
   9,   1,  15, 0.95430                                               
   9,   1,  16, 0.93465                                               
   9,   1,  17, 0.91800                                               
   9,   1,  18, 0.95265                                               
   9,   1,  19, 0.84780                                               
   9,   1,  20, 0.95040                                               
   9,   1,  21, 0.96960                                               
   9,   1,  22, 0.88275                                               
   9,   1,  23, 0.61050                                               
   9,   1,  24, 0.94965                                               
  10,   1,   1, 0.99262                                               
  10,   1,   2, 0.68525                                               
  10,   1,   3, 0.88040                                               
  10,   1,   4, 0.80321                                               
  10,   1,   5, 0.63085                                               
  10,   1,   6, 0.93217                                               
  10,   1,   7, 0.75609                                               
  10,   1,   8,  1.0346                                               
  10,   1,   9, 0.98131                                               
  10,   1,  10, 0.78554                                               
  10,   1,  11, 0.94860                                               
  10,   1,  12, 0.64775                                               
  10,   1,  13,  1.0092                                               
  10,   1,  14, 0.96580                                               
  10,   1,  15, 0.97356                                               
  10,   1,  16, 0.87606                                               
  10,   1,  17, 0.91217                                               
  10,   1,  18,  1.0019                                               
  10,   1,  19, 0.63627                                               
  10,   1,  20, 0.98611                                               
  10,   1,  21, 0.91527                                               
  10,   1,  22, 0.62992                                               
  10,   1,  23, 0.98440                                               
  10,   1,  24, 0.98208                                               
  11,   1,   1, 0.60960                                               
  11,   1,   2,  1.0013                                               
  11,   1,   3, 0.88575                                               
  11,   1,   4, 0.77730                                               
  11,   1,   5, 0.94215                                               
  11,   1,   6, 0.66315                                               
  11,   1,   7, 0.85200                                               
  11,   1,   8, 0.97665                                               
  11,   1,   9, 0.73170                                               
  11,   1,  10, 0.96060                                               
  11,   1,  11, 0.90210                                               
  11,   1,  12, 0.62685                                               
  11,   1,  13, 0.76020                                               
  11,   1,  14, 0.61575                                               
  11,   1,  15, 0.95430                                               
  11,   1,  16, 0.93465                                               
  11,   1,  17, 0.91800                                               
  11,   1,  18, 0.95265                                               
  11,   1,  19, 0.84780                                               
  11,   1,  20, 0.95040                                               
  11,   1,  21, 0.96960                                               
  11,   1,  22, 0.88275                                               
  11,   1,  23, 0.61050                                               
  11,   1,  24, 0.94965                                               
  12,   1,   1, 0.99262                                               
  12,   1,   2, 0.68525                                               
  12,   1,   3, 0.88040                                               
  12,   1,   4, 0.80321                                               
  12,   1,   5, 0.63085                                               
  12,   1,   6, 0.93217                                               
  12,   1,   7, 0.75609                                               
  12,   1,   8,  1.0346                                               
  12,   1,   9, 0.98131                                               
  12,   1,  10, 0.78554                                               
  12,   1,  11, 0.94860                                               
  12,   1,  12, 0.64775                                               
  12,   1,  13,  1.0092                                               
  12,   1,  14, 0.96580                                               
  12,   1,  15, 0.97356                                               
  12,   1,  16, 0.87606                                               
  12,   1,  17, 0.91217                                               
  12,   1,  18,  1.0019                                               
  12,   1,  19, 0.63627                                               
  12,   1,  20, 0.98611                                               
  12,   1,  21, 0.91527                                               
  12,   1,  22, 0.62992                                               
  12,   1,  23, 0.98440                                               
  12,   1,  24, 0.98208                                               
