Varies per block?       ,    2,Unit    ,$/MWh  ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,B1          ,B2          ,B3                           
   5,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
   5,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
   5,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   1,  9.4545    ,  9.4545    ,  9.4545                     
   6,   1,   2,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   5,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   6,  9.4545    ,  9.4545    ,  9.4545                     
   6,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   6,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  14,  9.4545    ,  9.4545    ,  9.4545                     
   6,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  19,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  22,  9.7500    ,  9.7500    ,  9.7500                     
   6,   1,  23,  9.4545    ,  9.4545    ,  9.4545                     
   6,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
   7,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
   7,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   7,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
   7,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
   7,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
   7,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
   8,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
   8,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   8,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
   8,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
   8,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
   8,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   1,  9.4545    ,  9.4545    ,  9.4545                     
   9,   1,   2,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   5,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   6,  9.4545    ,  9.4545    ,  9.4545                     
   9,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   9,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  14,  9.4545    ,  9.4545    ,  9.4545                     
   9,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  19,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  22,  9.7500    ,  9.7500    ,  9.7500                     
   9,   1,  23,  9.4545    ,  9.4545    ,  9.4545                     
   9,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
  10,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
  10,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
  10,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
  10,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
  10,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
  10,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   1,  9.4545    ,  9.4545    ,  9.4545                     
  11,   1,   2,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   5,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   6,  9.4545    ,  9.4545    ,  9.4545                     
  11,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
  11,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  14,  9.4545    ,  9.4545    ,  9.4545                     
  11,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  19,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  22,  9.7500    ,  9.7500    ,  9.7500                     
  11,   1,  23,  9.4545    ,  9.4545    ,  9.4545                     
  11,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
  12,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
  12,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
  12,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
  12,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
  12,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
  12,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
